id,transcript,segments
2,Sample transcript text,
3,"Thank you for watching! In this video, we are going to show you how to create a 3D effect using the 3D Pen Tool. First, we will create a 3D effect using the 3D Pen Tool. Click on the 3D Pen Tool. Click on the 3D Pen Tool. Click on the 3D Pen Tool. Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool Click on the 3D Pen Tool",
4,Welcome back.,
5,"Presiden Prabowo Subianto mengatakan badan pengelola investasi baru Indonesia yaitu Daya Anagatan Nusantara dan Antara akan diluncurkan pada 24 Februari 2025. Hal ini disampaikan Prabowo saat berbicara secara daring di Forum Internasional World Government Summit yang digelar di Dubai pada hari Kamis kemarin. Dalam paparannya Prabowo menyampaikan bahwa danantara yang akan diluncurkan pada tanggal 24 Februari bulan ini akan menginvestasikan sumber daya alam dan aset negara kita ke dalam proyek-proyek yang berkelanjutan dan berdampak tinggi di berbagai sektor seperti energi terbarukan, manufaktur canggih, industri hilir, produksi pangan dan lain-lain. Prabowo menghitung berdasarkan evaluasi awal danantara akan mengelola dana lebih dari 900 miliar dolar Amerika Serikat atau sekitar 14.715 triliun rupiah aset dalam pengelolaan Asset Under Management atau AUM. Prabowo mengatakan semua proyek tersebut diharapkan akan berkontribusi pada pencapaian target pertumbuhan ekonomi Indonesia sebesar 8 persen, bahkan dirinya mengungkapkan inisial funding atau pendanaan awal danantara di proyeksi mencapai 20 miliar dolar Amerika Serikat. Lebih lanjut, Prabowo menjelaskan bahwa danantara akan menjadi langkah yang transformatif, berencana memulai sekitar 15 hingga 20 proyek bernilai miliaran dolar yang akan menciptakan nilai tambah yang signifikan bagi Indonesia. Terima kasih.",
6,"Pengembangan mobil nasional kembali masuk agenda pemerintah. Menteri Perindustrian Agus Kumiwang kata Sasmita mengungkapkan, sejumlah pabrikan telah mengajukan konsep pengembangan mobil nasional. Salah satunya adalah Politron. Dalam gelaran pameran otomotif DG Expo Kemayoran, Menteri Perindustrian Agus Kumiwang menegaskan, pembahasan mobil nasional terus berlanjut. Bahkan sejumlah pabrikan telah menawarkan konsep pengembangan mobil nasional kepada pemerintah. Salah satunya, Politron yang menyatakan siap berkontribusi. Tidak hanya Politron, mobil maung yang kerap digunakan oleh Prabowo Subianto juga, masuk dalam kategori mobil nasional. Namun, Agus menegaskan bahwa mobil nasional tidak bisa 100% menggunakan komponen lokal. Beberapa komponen masih harus diimpor mengikuti rantai nilai global atau global value chain. Terima kasih.",
7,"Pengembangan mobil nasional kembali masuk agenda pemerintah. Menteri Perindustrian Agus Kumiwang kata Sasmita mengungkapkan, sejumlah pabrikan telah mengajukan konsep pengembangan mobil nasional. Salah satunya adalah Politron. Dalam gelaran pameran otomotif DG Expo Kemayoran, Menteri Perindustrian Agus Kumiwang menegaskan, pembahasan mobil nasional terus berlanjut. Bahkan sejumlah pabrikan telah menawarkan konsep pengembangan mobil nasional kepada pemerintah. Salah satunya, Politron yang menyatakan siap berkontribusi. Tidak hanya Politron, mobil maung yang kerap digunakan oleh Prabowo Subianto juga, masuk dalam kategori mobil nasional. Namun, Agus menegaskan bahwa mobil nasional tidak bisa 100% menggunakan komponen lokal. Beberapa komponen masih harus diimpor mengikuti rantai nilai global atau global value chain. Terima kasih.",
8,"Presiden Amerika Serikat Donald Trump resmi menandatangani rencana penerapan tarif timbal balik ke sejumlah negara mitra dagang. Rencana ini tidak hanya menyasar negara pesaing, tetapi juga sekutu Amerika Serikat. Melalui memorandum Presiden ini, Trump menginstitusikan perwakilan dagang dan Menteri Perdagangan Amerika Serikat untuk mengusulkan pungutan baru berdasarkan negara per negara. Langkah ini merupakan upaya Amerika Serikat untuk menyimpangkan kembali hubungan perdagangan yang dinilai Trump tidak adil. Untuk saat ini, tarif timbal balik ini belum akan segera berlaku. Calon Menteri Perdagangan Amerika Serikat Howard Lutnick mengatakan akan melakukan studi untuk menentukan tingkat tarif yang tepat bagi setiap negara yang terkena dampak. Khusus dengan Eropa misalnya, satu masalah yang disoroti oleh Pejabat Amerika Serikat adalah tarif Uni Eropa sebesar 10% untuk kendaraan Amerika Serikat. Sementara Amerika Serikat hanya mengenakan tarif 2,5%. Terima kasih.",
9,"Tadi kita melaksanakan upacara penyambutan berhadap Satgas Maritime Task Force Unifil ke-28O di Libanon, ya yang penugasan di Libanon menjaga perdamaian telah melaksanakan tugas di perairan Mediterranean atau perairan sekitar Libanon itu selama satu tahun kemudian seluruh personil, material, kapal maupun helikopter yang bertugas di sana kembali dalam keadaan aman, selamat dan kondisi fit tanpa kurang satu apapun Alhamdulillah mereka sudah kembali ke tanah air dan mungkin beberapa hari kemudian nanti akan kembali ke pangkalan induk yaitu di Surabaya karena kapal ini berasal dari Armada 2 di Surabaya seluruh personil sangat gembira bisa kembali ke tanah air dan mereka telah menjalankan tugas dengan baik selama berada di sana, di daerah operasi atau di daerah misi mereka telah melaksanakan 235 hari pelayaran jadi hampir 70% berada di laut selama satu tahun itu kemudian walaupun situasi yang kita tahu konflik di sana cukup memanas tapi Alhamdulillah mereka kembali dalam keadaan selamat dan bisa menjalankan tugasnya dengan baik dan malah mendapatkan penghargaan atau prestasi dari beberapa kontingen asing terutama yang paling menonjol adalah dari Jerman jadi Menteri Pertahanan Jerman memberikan medali Jerman Medal kepada KRI MTF, KRI Diponogoro ini dalam tugas MTF ini, Maritime Task Force dan itu baru pertama kali selama pelaksanaan tugas MTF yang dulu-dulu baru kali ini mendapatkan penghargaan dari Jerman Medal dan banyak lagi medali-medali dari Tanzania, kemudian dari Libanon itu sendiri kemudian dari Duta Besar kita yang ada di Turki maupun Duta Besar kita yang ada di Libanon dan mereka bisa bergaul bersama dengan kapal-kapal perang asing yang bertugas di sana dengan baik dan mendapat kepercayaan yang penuh dari kontingen PBB yang ada di sana mungkin itu yang bisa saya sampaikan sebagai pendahuluan apabila ada yang ingin ditanyakan silahkan Pak Kasal, saya Walda dari Antara Pak mau bertanya terkait yang penghargaan dari Menteri Pertahanan Jerman itu kan unik Pak ya, baru pertama kali boleh dijelaskan Pak prestasinya hingga mendapatkan penghargaan tersebut apa Pak ya? pertama itu, kedua apakah nanti akan ada pergantian pasukan lagi dari TNI AL untuk menggantikan tugas di Libanon menggantikan tugas ini dan ketiga, terakhir Pak, ini setelah teman-teman personil datang ke Indonesia kira-kira penghargaan dari TNI AL atau mungkin dari Kasal sendiri akan seperti apa kepada para prajurit Pak? Terima Kasih Terima Kasih, pertama penghargaan dari Jerman Jerman Medal ini baru pertama kali kenapa sampai kapal ini diberikan medali dari Menteri Pertahanan Jerman ini karena selama bertugas dapat melaksanakan kerjasama dengan kontingen Jerman dengan baik kemudian bisa meng-hiling beberapa kapal asing kapal-kapal sipil yang mungkin ada upaya-upaya penyelundupan senjata itu juga berhasil dimana akhirnya mendapatkan penghargaan dari kontingen Jerman karena disana juga ada MTF dari kapal Jerman MTF komandernya kebetulan dari Jerman juga nah itu tugas-tugas yang dilaksanakan ini bisa berjalan dengan baik, lancar dan aman akhirnya mendapatkan penghargaan itu kemudian dari Libanon sendiri juga begitu bahkan kita juga melatih beberapa prajurit Angkatan Laut Libanon untuk melaksanakan VBSS bagaimana cara menjalankan tugas diatas kapal kemudian melaksanakan visit, board, search and size jadi itu kira-kira kemudian yang kedua tadi kapal yang menggantikan sudah berada disana jadi serah terimanya disana dengan KRI Sultan Iskandar Muda sama jenisnya seperti ini, jenis Corvette Sigma Class dan sudah berada disana tiap hari juga melaksanakan tugas yang sama kemudian melaporkan apa yang dikerjakan per hari saya juga mendapat laporan terus dari kapal-kapal yang diberikan disana kenapa? pergantiannya kira-kira sebulan atau? Januari Januari, pertengahan Januari sudah on task disana kemudian yang terakhir penghargaan penghargaan nanti akan diupacarakan di Surabaya terutama kemudian tentu saja mendapatkan apresiasi dari Panglima Armada dari kami juga ada berupa sertifikat nanti mereka akan mendapatkan tanda jasa tanda jasa Santidharma untuk PBB, tugas PBB semua yang bertugas di PBB akan mendapatkan penghargaan itu dari PBBnya sendiri ada UN Medal kemudian dari Indonesia, dari Angkatan Laut atau dari TNI mendapatkan Santidharma itu kira-kira, ada lagi? Menezin Bapak, tadi kan disampaikan bahwa memang ketika kapal ini bertugas disana itu situasinya luar biasa konflik dan kita juga tahu bahwa saat itu adalah saat-saat terpanas yang mungkin kalau boleh dibilangkan sekarang sudah sedikit turun nah sepanjang penugasan itu apakah sempat terjadi insiden atau sesuatu yang membuat gangguan-gangguan di kapal ini maupun kepada personil? Terima kasih Pak jadi selama mereka melaksanakan patroli tadi yang saya sampaikan, selama 235 hari patroli di Laut Mediterania tidak ada insiden, Alhamdulillah tidak ada insiden semuanya bisa dikomunikasikan makanya ini mendapatkan penghargaan karena komunikasi dengan pihak-pihak angkatan laut asing yang berada disana yang juga dibawah bendera PBB itu semuanya terjalin dengan baik dan kerjasamanya sangat harmonis bisa sinergis untuk menjaga perairan Mediterania memang pada saat itu kondisi konflik tapi Alhamdulillah bisa dilaksanakan dengan aman dan bisa selamatlah kemudian kita tetap melaporkan misalnya ada pelanggaran-pelanggaran udara ataupun dari permukaan kepada PBB ada lagi? sudah? ya, terima kasih makasih Pak, kemarin pas RTP kemarin ada pemangkasan anggaran Pak ya itu kan NNS bagian 4 iya, semua-semua dapat karena sekarang pemangkasan komunikasi dapat berkat pemotongan tersebut, apakah nanti ada beberapa pengurangan? baik, bukan pemotongan ya istilahnya jadi itu adalah blokir sementara jadi efisiensi dan blokir sementara jadi nanti tidak berpengaruh banyak terhadap operasional jadi yang tidak boleh diganggu itu adalah operasional kemudian belanja pegawai, gaji, tunjangan itu tidak akan terganggu mungkin belanja barang dan belanja modal akan kita sesuaikan itu saja jadi tidak berpengaruh terima kasih terima kasih Assalamualaikum warahmatullahi wabarakatuh terima kasih",
10,"Tadi kita melaksanakan upacara penyambutan berhadap Satgas Maritime Task Force Unifil ke-28O di Libanon, ya yang penugasan di Libanon menjaga perdamaian telah melaksanakan tugas di perairan Mediterranean atau perairan sekitar Libanon itu selama satu tahun kemudian seluruh personil, material, kapal maupun helikopter yang bertugas di sana kembali dalam keadaan aman, selamat dan kondisi fit tanpa kurang satu apapun Alhamdulillah mereka sudah kembali ke tanah air dan mungkin beberapa hari kemudian nanti akan kembali ke pangkalan induk yaitu di Surabaya karena kapal ini berasal dari Armada 2 di Surabaya seluruh personil sangat gembira bisa kembali ke tanah air dan mereka telah menjalankan tugas dengan baik selama berada di sana, di daerah operasi atau di daerah misi mereka telah melaksanakan 235 hari pelayaran jadi hampir 70% berada di laut selama satu tahun itu kemudian walaupun situasi yang kita tahu konflik di sana cukup memanas tapi Alhamdulillah mereka kembali dalam keadaan selamat dan bisa menjalankan tugasnya dengan baik dan malah mendapatkan penghargaan atau prestasi dari beberapa kontingen asing terutama yang paling menonjol adalah dari Jerman jadi Menteri Pertahanan Jerman memberikan medali Jerman Medal kepada KRI MTF, KRI Diponogoro ini dalam tugas MTF ini, Maritime Task Force dan itu baru pertama kali selama pelaksanaan tugas MTF yang dulu-dulu baru kali ini mendapatkan penghargaan dari Jerman Medal dan banyak lagi medali-medali dari Tanzania, kemudian dari Libanon itu sendiri kemudian dari Duta Besar kita yang ada di Turki maupun Duta Besar kita yang ada di Libanon dan mereka bisa bergaul bersama dengan kapal-kapal perang asing yang bertugas di sana dengan baik dan mendapat kepercayaan yang penuh dari kontingen PBB yang ada di sana mungkin itu yang bisa saya sampaikan sebagai pendahuluan apabila ada yang ingin ditanyakan silahkan Pak Kasal, saya Walda dari Antara Pak mau bertanya terkait yang penghargaan dari Menteri Pertahanan Jerman itu kan unik Pak ya, baru pertama kali boleh dijelaskan Pak prestasinya hingga mendapatkan penghargaan tersebut apa Pak ya? pertama itu, kedua apakah nanti akan ada pergantian pasukan lagi dari TNI AL untuk menggantikan tugas di Libanon menggantikan tugas ini dan ketiga, terakhir Pak, ini setelah teman-teman personil datang ke Indonesia kira-kira penghargaan dari TNI AL atau mungkin dari Kasal sendiri akan seperti apa kepada para prajurit Pak? Terima Kasih Terima Kasih, pertama penghargaan dari Jerman Jerman Medal ini baru pertama kali kenapa sampai kapal ini diberikan medali dari Menteri Pertahanan Jerman ini karena selama bertugas dapat melaksanakan kerjasama dengan kontingen Jerman dengan baik kemudian bisa meng-hiling beberapa kapal asing kapal-kapal sipil yang mungkin ada upaya-upaya penyelundupan senjata itu juga berhasil dimana akhirnya mendapatkan penghargaan dari kontingen Jerman karena disana juga ada MTF dari kapal Jerman MTF komandernya kebetulan dari Jerman juga nah itu tugas-tugas yang dilaksanakan ini bisa berjalan dengan baik, lancar dan aman akhirnya mendapatkan penghargaan itu kemudian dari Libanon sendiri juga begitu bahkan kita juga melatih beberapa prajurit Angkatan Laut Libanon untuk melaksanakan VBSS bagaimana cara menjalankan tugas diatas kapal kemudian melaksanakan visit, board, search and size jadi itu kira-kira kemudian yang kedua tadi kapal yang menggantikan sudah berada disana jadi serah terimanya disana dengan KRI Sultan Iskandar Muda sama jenisnya seperti ini, jenis Corvette Sigma Class dan sudah berada disana tiap hari juga melaksanakan tugas yang sama kemudian melaporkan apa yang dikerjakan per hari saya juga mendapat laporan terus dari kapal-kapal yang diberikan disana kenapa? pergantiannya kira-kira sebulan atau? Januari Januari, pertengahan Januari sudah on task disana kemudian yang terakhir penghargaan penghargaan nanti akan diupacarakan di Surabaya terutama kemudian tentu saja mendapatkan apresiasi dari Panglima Armada dari kami juga ada berupa sertifikat nanti mereka akan mendapatkan tanda jasa tanda jasa Santidharma untuk PBB, tugas PBB semua yang bertugas di PBB akan mendapatkan penghargaan itu dari PBBnya sendiri ada UN Medal kemudian dari Indonesia, dari Angkatan Laut atau dari TNI mendapatkan Santidharma itu kira-kira, ada lagi? Menezin Bapak, tadi kan disampaikan bahwa memang ketika kapal ini bertugas disana itu situasinya luar biasa konflik dan kita juga tahu bahwa saat itu adalah saat-saat terpanas yang mungkin kalau boleh dibilangkan sekarang sudah sedikit turun nah sepanjang penugasan itu apakah sempat terjadi insiden atau sesuatu yang membuat gangguan-gangguan di kapal ini maupun kepada personil? Terima kasih Pak jadi selama mereka melaksanakan patroli tadi yang saya sampaikan, selama 235 hari patroli di Laut Mediterania tidak ada insiden, Alhamdulillah tidak ada insiden semuanya bisa dikomunikasikan makanya ini mendapatkan penghargaan karena komunikasi dengan pihak-pihak angkatan laut asing yang berada disana yang juga dibawah bendera PBB itu semuanya terjalin dengan baik dan kerjasamanya sangat harmonis bisa sinergis untuk menjaga perairan Mediterania memang pada saat itu kondisi konflik tapi Alhamdulillah bisa dilaksanakan dengan aman dan bisa selamatlah kemudian kita tetap melaporkan misalnya ada pelanggaran-pelanggaran udara ataupun dari permukaan kepada PBB ada lagi? sudah? ya, terima kasih makasih Pak, kemarin pas RTP kemarin ada pemangkasan anggaran Pak ya itu kan NNS bagian 4 iya, semua-semua dapat karena sekarang pemangkasan komunikasi dapat berkat pemotongan tersebut, apakah nanti ada beberapa pengurangan? baik, bukan pemotongan ya istilahnya jadi itu adalah blokir sementara jadi efisiensi dan blokir sementara jadi nanti tidak berpengaruh banyak terhadap operasional jadi yang tidak boleh diganggu itu adalah operasional kemudian belanja pegawai, gaji, tunjangan itu tidak akan terganggu mungkin belanja barang dan belanja modal akan kita sesuaikan itu saja jadi tidak berpengaruh terima kasih terima kasih Assalamualaikum warahmatullahi wabarakatuh terima kasih",
11,"Presiden Prabowo Subianto terpilih kembali menjadi Ketua Umum DPP Partai Gerindra. Hal ini diungkapkan Sekretaris Jenderal Partai Gerindra, Ampat Muzani, usai Kongres Luar Biasa Partai Gerindra di Hambalang pada Khamis 13 Februari. Sebelum memulai KLB Partai Gerindra terlebih dahulu menggelar rakti menas pada Khamis pagi, Muzani menjelaskan KLB digelar berdasarkan Rapat Pimpinan Nasional pada 24 Agustus 2024 yang meminta Ketua Dewan Pembina Partai Gerindra menggelar Kongres atau Kongres Luar Biasa pada Februari 2025. Ada empat keputusan yang diambil dalam KLB Partai Gerindra yang dimenerima laporan pertanggung jawaban DPP Partai Gerindra periode 2020 hingga 2025. Menetapkan kembali Prabowo Subianto sebagai Ketua Umum DPP Partai Gerindra periode 2025 hingga 2030. Menetapkan Prabowo Subianto sebagai Ketua Dewan Pembina DPP Partai Gerindra dan menetapkan Prabowo sebagai fermatur tunggal. Muzani mengatakan Kongres memberikan mandat kepada Prabowo sebagai fermatur tunggal untuk mencempurtakan anggaran dasar anggaran rumah tangga serta susunan pengurus DPP Partai Gerindra. Selain itu, menurut Muzani, Kongres juga meminta Prabowo agar bersedia maju sebagai calon presiden pada pemilu 2029. Terima kasih.",
